eventname,geoid
Nashville Predators,00A
Nashville Predators,00B
Montreal Canadiens,00E
Florida Panthers,00G
Montreal Canadiens,00H
Florida Panthers,00J
Ottawa Senators,00K
Toronto Maple Leafs,00L
Toronto Maple Leafs,00M
Vegas Golden Knights,00N
Toronto Maple Leafs,00P
Winnipeg Jets,00R
Vegas Golden Knights,00S
Calgary Flames,00T
Vancouver Canucks,00V
Toronto Maple Leafs,00X
Vancouver Canucks,00Y
Montreal Canadiens,0H2
Winnipeg Jets,0R3
Vancouver Canucks,1B4
Montreal Canadiens,1KV
Toronto Maple Leafs,1LS
Montreal Canadiens,1M0
Vancouver Canucks,1P6
Vancouver Canucks,1X1
Calgary Flames,24R
Vancouver Canucks,2B9
Calgary Flames,2TB
Montreal Canadiens,2X5
Vancouver Canucks,36J
Florida Panthers,3GE
Vancouver Canucks,45J
Vancouver Canucks,6B0
Edmonton Oilers,6T6
Tampa Bay Lightning,80E
Montreal Canadiens,80P
Toronto Maple Leafs,A0A
Toronto Maple Leafs,A0B
Montreal Canadiens,A0C
Montreal Canadiens,A0E
Montreal Canadiens,A0G
Montreal Canadiens,A0H
Toronto Maple Leafs,A0J
Montreal Canadiens,A0K
Toronto Maple Leafs,A0L
Toronto Maple Leafs,A0M
Montreal Canadiens,A0N
Montreal Canadiens,A0P
Montreal Canadiens,A0R
Montreal Canadiens,A1A
Montreal Canadiens,A1B
Montreal Canadiens,A1C
Toronto Maple Leafs,A1E
Toronto Maple Leafs,A1G
Tampa Bay Lightning,A1H
Montreal Canadiens,A1K
Montreal Canadiens,A1L
Toronto Maple Leafs,A1M
Montreal Canadiens,A1N
Montreal Canadiens,A1S
Montreal Canadiens,A1V
Tampa Bay Lightning,A1W
Montreal Canadiens,A1X
Toronto Maple Leafs,A1Y
Toronto Maple Leafs,A2A
Toronto Maple Leafs,A2B
Toronto Maple Leafs,A2H
Montreal Canadiens,A2N
Montreal Canadiens,A2V
Montreal Canadiens,A5A
Montreal Canadiens,A5V
Edmonton Oilers,A6V
Toronto Maple Leafs,A8A
Calgary Flames,ALB
Montreal Canadiens,AOA
Boston Bruins,AOE
Montreal Canadiens,AOP
Edmonton Oilers,AOR
Montreal Canadiens,B0C
Montreal Canadiens,B0E
Toronto Maple Leafs,B0H
Montreal Canadiens,B0J
Montreal Canadiens,B0K
Ottawa Senators,B0L
Montreal Canadiens,B0M
Montreal Canadiens,B0N
Toronto Maple Leafs,B0P
Toronto Maple Leafs,B0R
Montreal Canadiens,B0S
Montreal Canadiens,B0T
Ottawa Senators,B0V
Montreal Canadiens,B0W
Montreal Canadiens,B1A
Vegas Golden Knights,B1B
Toronto Maple Leafs,B1C
Montreal Canadiens,B1E
Pittsburgh Penguins,B1G
Montreal Canadiens,B1H
Tampa Bay Lightning,B1J
Montreal Canadiens,B1K
Boston Bruins,B1L
Ottawa Senators,B1M
Montreal Canadiens,B1N
Montreal Canadiens,B1P
Boston Bruins,B1R
Tampa Bay Lightning,B1S
Vancouver Canucks,B1T
Montreal Canadiens,B1V
Boston Bruins,B1W
Toronto Maple Leafs,B1X
Montreal Canadiens,B1Y
Montreal Canadiens,B2A
Anaheim Ducks,B2B
Tampa Bay Lightning,B2G
Montreal Canadiens,B2H
St. Louis Blues,B2K
Montreal Canadiens,B2N
Boston Bruins,B2R
Montreal Canadiens,B2S
Montreal Canadiens,B2T
Montreal Canadiens,B2V
Montreal Canadiens,B2W
Tampa Bay Lightning,B2X
Montreal Canadiens,B2Y
Montreal Canadiens,B2Z
Montreal Canadiens,B3A
Montreal Canadiens,B3B
Montreal Canadiens,B3E
Montreal Canadiens,B3G
Montreal Canadiens,B3H
Montreal Canadiens,B3J
Montreal Canadiens,B3K
Montreal Canadiens,B3L
Toronto Maple Leafs,B3M
Montreal Canadiens,B3N
Montreal Canadiens,B3P
Boston Bruins,B3R
Montreal Canadiens,B3S
Montreal Canadiens,B3T
Toronto Maple Leafs,B3V
New Jersey Devils,B3Y
Montreal Canadiens,B3Z
Tampa Bay Lightning,B4A
Montreal Canadiens,B4B
Montreal Canadiens,B4C
Montreal Canadiens,B4E
Montreal Canadiens,B4G
Montreal Canadiens,B4H
Vegas Golden Knights,B4M
Nashville Predators,B4N
Ottawa Senators,B4P
Montreal Canadiens,B4R
Montreal Canadiens,B4V
Tampa Bay Lightning,B4W
Montreal Canadiens,B4Y
Montreal Canadiens,B5A
Montreal Canadiens,B6L
Vancouver Canucks,B6X
Montreal Canadiens,B9A
Florida Panthers,B9K
Vancouver Canucks,B9W
Montreal Canadiens,BCA
Vancouver Canucks,BCV
Buffalo Sabres,BOE
Vancouver Canucks,BON
Ottawa Senators,BOT
Montreal Canadiens,BOW
Montreal Canadiens,C0A
Toronto Maple Leafs,C0B
Toronto Maple Leafs,C0C
Montreal Canadiens,C18
Montreal Canadiens,C1A
Montreal Canadiens,C1B
Toronto Maple Leafs,C1C
Montreal Canadiens,C1E
Montreal Canadiens,C1G
Montreal Canadiens,C1N
Arizona Coyotes,C2C
Ottawa Senators,C2N
Vancouver Canucks,CAN
Montreal Canadiens,COA
Montreal Canadiens,D0W
Tampa Bay Lightning,D1D
Vancouver Canucks,D6A
Vegas Golden Knights,D9T
Vancouver Canucks,DOH
Nashville Predators,E0B
Montreal Canadiens,E1A
Montreal Canadiens,E1B
Montreal Canadiens,E1C
Montreal Canadiens,E1E
Montreal Canadiens,E1G
