team,billing_county,county,,state_abbr,state_name,state_fips,geo_type,county_name,county_name_full,join,GEOID
New York Rangers,"Hudson, NJ",Hudson, NJ,NJ,New Jersey,34,County,Hudson County,"Hudson County, New Jersey",Hudson County34,26021
New York Rangers,"Bronx, NY",Bronx, NY,NY,New York,36,County,Bronx County,"Bronx County, New York",Bronx County36,#N/A
New York Rangers,"Hunterdon, NJ",Hunterdon, NJ,NJ,New Jersey,34,County,Hunterdon County,"Hunterdon County, New Jersey",Hunterdon County34,26021
New York Rangers,"Saratoga, NY",Saratoga, NY,NY,New York,36,County,Saratoga County,"Saratoga County, New York",Saratoga County36,47059
New York Rangers,"Broome, NY",Broome, NY,NY,New York,36,County,Broome County,"Broome County, New York",Broome County36,#N/A
New York Rangers,"Ulster, NY",Ulster, NY,NY,New York,36,County,Ulster County,"Ulster County, New York",Ulster County36,46007
New York Rangers,"Litchfield, CT",Litchfield, CT,CT,Connecticut,09,County,Litchfield County,"Litchfield County, Connecticut",Litchfield County09,48159
New York Rangers,"Rensselaer, NY",Rensselaer, NY,NY,New York,36,County,Rensselaer County,"Rensselaer County, New York",Rensselaer County36,47059
New York Rangers,"Schenectady, NY",Schenectady, NY,NY,New York,36,County,Schenectady County,"Schenectady County, New York",Schenectady County36,47059
New York Rangers,"Columbia, NY",Columbia, NY,NY,New York,36,County,Columbia County,"Columbia County, New York",Columbia County36,19025
New York Rangers,"Warren, NY",Warren, NY,NY,New York,36,County,Warren County,"Warren County, New York",Warren County36,21219
New York Rangers,"Herkimer, NY",Herkimer, NY,NY,New York,36,County,Herkimer County,"Herkimer County, New York",Herkimer County36,26021
New York Rangers,"Montgomery, NY",Montgomery, NY,NY,New York,36,County,Montgomery County,"Montgomery County, New York",Montgomery County36,12069
