team,billing_county,county,,state_abbr,state_name,state_fips,geo_type,county_name,county_name_full,join,GEOID
Nashville Predators,"Nicholas, KY",Nicholas, KY,KY,Kentucky,21,County,Nicholas County,"Nicholas County, Kentucky",Nicholas County21,12069
Nashville Predators,"Crittenden, AR",Crittenden, AR,AR,Arkansas,05,County,Crittenden County,"Crittenden County, Arkansas",Crittenden County05,19025
Nashville Predators,"Tippah, MS",Tippah, MS,MS,Mississippi,28,County,Tippah County,"Tippah County, Mississippi",Tippah County28,46007
Nashville Predators,"Henderson, KY",Henderson, KY,KY,Kentucky,21,County,Henderson County,"Henderson County, Kentucky",Henderson County21,26021
Nashville Predators,"Tate, MS",Tate, MS,MS,Mississippi,28,County,Tate County,"Tate County, Mississippi",Tate County28,46007
Nashville Predators,"Berrien, GA",Berrien, GA,GA,Georgia,13,County,Berrien County,"Berrien County, Georgia",Berrien County13,#N/A
Nashville Predators,"Wayne, GA",Wayne, GA,GA,Georgia,13,County,Wayne County,"Wayne County, Georgia",Wayne County13,21219
Nashville Predators,"Union, TN",Union, TN,TN,Tennessee,47,County,Union County,"Union County, Tennessee",Union County47,46007
Nashville Predators,"Clayton, IA",Clayton, IA,IA,Iowa,19,County,Clayton County,"Clayton County, Iowa",Clayton County19,19025
Nashville Predators,"Haralson, GA",Haralson, GA,GA,Georgia,13,County,Haralson County,"Haralson County, Georgia",Haralson County13,26021
Nashville Predators,"Independence, AR",Independence, AR,AR,Arkansas,05,County,Independence County,"Independence County, Arkansas",Independence County05,31045
Nashville Predators,"Scott, MS",Scott, MS,MS,Mississippi,28,County,Scott County,"Scott County, Mississippi",Scott County28,47059
Nashville Predators,"Webster, KY",Webster, KY,KY,Kentucky,21,County,Webster County,"Webster County, Kentucky",Webster County21,48249
Nashville Predators,"Custer, OK",Custer, OK,OK,Oklahoma,40,County,Custer County,"Custer County, Oklahoma",Custer County40,19025
Nashville Predators,"Marion, AL",Marion, AL,AL,Alabama,01,County,Marion County,"Marion County, Alabama",Marion County01,12069
Nashville Predators,"Calhoun, MS",Calhoun, MS,MS,Mississippi,28,County,Calhoun County,"Calhoun County, Mississippi",Calhoun County28,19025
Nashville Predators,"Bulloch, GA",Bulloch, GA,GA,Georgia,13,County,Bulloch County,"Bulloch County, Georgia",Bulloch County13,#N/A
Nashville Predators,"Arkansas, AR",Arkansas, AR,AR,Arkansas,05,County,Arkansas County,"Arkansas County, Arkansas",Arkansas County05,#N/A
Nashville Predators,"Power, ID",Power, ID,ID,Idaho,16,County,Power County,"Power County, Idaho",Power County16,47059
Nashville Predators,"Clarke, AL",Clarke, AL,AL,Alabama,01,County,Clarke County,"Clarke County, Alabama",Clarke County01,19025
Nashville Predators,"Union, LA",Union, LA,LA,Louisiana,22,Parish,Union Parish,"Union Parish, Louisiana",Union Parish22,46007
Nashville Predators,"Choctaw, AL",Choctaw, AL,AL,Alabama,01,County,Choctaw County,"Choctaw County, Alabama",Choctaw County01,19025
Nashville Predators,"Ohio, KY",Ohio, KY,KY,Kentucky,21,County,Ohio County,"Ohio County, Kentucky",Ohio County21,12069
Nashville Predators,"Pike, GA",Pike, GA,GA,Georgia,13,County,Pike County,"Pike County, Georgia",Pike County13,40111
Nashville Predators,"Cedar, IA",Cedar, IA,IA,Iowa,19,County,Cedar County,"Cedar County, Iowa",Cedar County19,19025
Nashville Predators,"Chickasaw, MS",Chickasaw, MS,MS,Mississippi,28,County,Chickasaw County,"Chickasaw County, Mississippi",Chickasaw County28,19025
Nashville Predators,"Rabun, GA",Rabun, GA,GA,Georgia,13,County,Rabun County,"Rabun County, Georgia",Rabun County13,47059
Nashville Predators,"Morgan, GA",Morgan, GA,GA,Georgia,13,County,Morgan County,"Morgan County, Georgia",Morgan County13,12069
Nashville Predators,"Spalding, GA",Spalding, GA,GA,Georgia,13,County,Spalding County,"Spalding County, Georgia",Spalding County13,47059
Nashville Predators,"Scott, TN",Scott, TN,TN,Tennessee,47,County,Scott County,"Scott County, Tennessee",Scott County47,47059
Nashville Predators,"Matagorda, TX",Matagorda, TX,TX,Texas,48,County,Matagorda County,"Matagorda County, Texas",Matagorda County48,12069
Nashville Predators,"Pike, AL",Pike, AL,AL,Alabama,01,County,Pike County,"Pike County, Alabama",Pike County01,40111
